item,value,description,recoding,recoding_description
housing,1,Own the leasehold/freehold outright,4,Owner
housing,2,Buying the leasehold/freehold on a mortgage,1,Mortgage
housing,3,Rented from local authority,3,Rented
housing,4,Rented from private landlord,3,Rented
housing,5,It belongs to a Housing Association,3,Rented
housing,6,Don’t know,,
profile_house_tenure,1,Own outright,4,Owner
profile_house_tenure,2,Own with a mortgage,1,Mortgage
profile_house_tenure,3,Own (part-own) through shared ownership scheme,4,Owner
profile_house_tenure,4,Rent from a private landlord,3,Rented
profile_house_tenure,5,Rent from my local authority,3,Rented
profile_house_tenure,6,Rent from a housing association,3,Rented
profile_house_tenure,7,"Neither, I live with my parents, family or friends but pay some rent to them",2,Social
profile_house_tenure,8,"Neither, I live rent-free with my parents, family or friends",2,Social
profile_house_tenure,9,Other,5,Other
profile_house_tenure,9999,Don’t know,,
