Item Group Prefix,Encoding,Description,Recoding
profile_work_stat,1,Working full time (30 or more hours per week),1
profile_work_stat,2,Working part time (8-29 hours a week),2
profile_work_stat,3,Working part time (Less than 8 hours a week),3
profile_work_stat,4,Full time student,5
profile_work_stat,5,Retired,6
profile_work_stat,6,Unemployed,4
profile_work_stat,7,Not working,7
profile_work_stat,8,Other,8
workingStatus,1,Working full time (30 or more hours per week),1
workingStatus,2,Working part time (8-29 hours a week),2
workingStatus,3,Working part time (less than 8 hours a week),3
workingStatus,4,Unemployed and looking for work,4
workingStatus,5,Full time university student,5
workingStatus,6,Other full time student,5
workingStatus,7,Retired,6
workingStatus,8,Not in paid work for any other reason,7
workingStatus,9,Other,8
